SNR,MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,MCS8,MCS9
-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.7,0.00020003999999995692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.6,0.003511972999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5,0.021529305000000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.4,0.025962463000000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.3,0.09311152499999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.2,0.24596793299999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1,0.425282772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,0.6274162249999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9,0.806305316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8,0.901837242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7,0.959958826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6,0.982634167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5,0.991449427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.4,0.998178047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.998225176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.998951191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.9993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,1.0,0.00013335100000000377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,1.0,0.002673287000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.0,0.00471250599999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,1.0,0.01546012699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,1.0,0.08894505900000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,1.0,0.22828410499999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,1.0,0.420587425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.641397386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,1.0,0.805713936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,1.0,0.903762232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,1.0,0.958177103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,1.0,0.982393038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1.0,0.988917581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,1.0,0.99491571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,1.0,0.997855239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,1.0,0.9987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,1.0,0.99930718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,0.00010000300000001516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,1.0,1.0,0.0017007439999999763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,1.0,1.0,0.016974641000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,1.0,1.0,0.08439990799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,1.0,1.0,0.23716598200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1.0,1.0,0.452469451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6,1.0,1.0,0.666471649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7,1.0,1.0,0.831045237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8,1.0,1.0,0.92980019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9,1.0,1.0,0.971764892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,1.0,0.988914734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,1.0,1.0,0.996464097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,1.0,1.0,0.999047659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3,1.0,1.0,0.999574465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,1.0,1.0,0.999367544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,1.0,1.0,0.9992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6,1.0,1.0,0.9997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,1.0,1.0,1.0,0.00013335100000000377,0.0,0.0,0.0,0.0,0.0,0.0
6.9,1.0,1.0,1.0,0.002167842999999947,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1.0,1.0,1.0,0.01593194600000003,0.0,0.0,0.0,0.0,0.0,0.0
7.1,1.0,1.0,1.0,0.07294676099999997,0.0,0.0,0.0,0.0,0.0,0.0
7.2,1.0,1.0,1.0,0.19468207800000004,0.0,0.0,0.0,0.0,0.0,0.0
7.3,1.0,1.0,1.0,0.374889091,0.0,0.0,0.0,0.0,0.0,0.0
7.4,1.0,1.0,1.0,0.574092732,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1.0,1.0,1.0,0.741197083,0.0,0.0,0.0,0.0,0.0,0.0
7.6,1.0,1.0,1.0,0.8621532670000001,0.0,0.0,0.0,0.0,0.0,0.0
7.7,1.0,1.0,1.0,0.932496213,0.0,0.0,0.0,0.0,0.0,0.0
7.8,1.0,1.0,1.0,0.974140664,0.0,0.0,0.0,0.0,0.0,0.0
7.9,1.0,1.0,1.0,0.985924079,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,1.0,1.0,0.994224039,0.0,0.0,0.0,0.0,0.0,0.0
8.1,1.0,1.0,1.0,0.997593306,0.0,0.0,0.0,0.0,0.0,0.0
8.2,1.0,1.0,1.0,0.998496011,0.0,0.0,0.0,0.0,0.0,0.0
8.3,1.0,1.0,1.0,0.998751,0.0,0.0,0.0,0.0,0.0,0.0
8.4,1.0,1.0,1.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0
8.5,1.0,1.0,1.0,0.9995,0.0,0.0,0.0,0.0,0.0,0.0
8.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,1.0,1.0,1.0,6.667100000001813e-05,0.0,0.0,0.0,0.0,0.0
10.1,1.0,1.0,1.0,1.0,0.0009342060000000485,0.0,0.0,0.0,0.0,0.0
10.2,1.0,1.0,1.0,1.0,0.007252471000000038,0.0,0.0,0.0,0.0,0.0
10.3,1.0,1.0,1.0,1.0,0.03351040400000005,0.0,0.0,0.0,0.0,0.0
10.4,1.0,1.0,1.0,1.0,0.09815025600000005,0.0,0.0,0.0,0.0,0.0
10.5,1.0,1.0,1.0,1.0,0.20886821899999997,0.0,0.0,0.0,0.0,0.0
10.6,1.0,1.0,1.0,1.0,0.361366787,0.0,0.0,0.0,0.0,0.0
10.7,1.0,1.0,1.0,1.0,0.540274107,0.0,0.0,0.0,0.0,0.0
10.8,1.0,1.0,1.0,1.0,0.7173126839999999,0.0,0.0,0.0,0.0,0.0
10.9,1.0,1.0,1.0,1.0,0.847236246,0.0,0.0,0.0,0.0,0.0
11.0,1.0,1.0,1.0,1.0,0.929323706,0.0,0.0,0.0,0.0,0.0
11.1,1.0,1.0,1.0,1.0,0.970454174,0.0,0.0,0.0,0.0,0.0
11.2,1.0,1.0,1.0,1.0,0.9882610549999999,0.0,0.0,0.0,0.0,0.0
11.3,1.0,1.0,1.0,1.0,0.995346066,0.0,0.0,0.0,0.0,0.0
11.4,1.0,1.0,1.0,1.0,0.997932316,0.0,0.0,0.0,0.0,0.0
11.5,1.0,1.0,1.0,1.0,0.999368364,0.0,0.0,0.0,0.0,0.0
11.6,1.0,1.0,1.0,1.0,0.99930718,0.0,0.0,0.0,0.0,0.0
11.7,1.0,1.0,1.0,1.0,0.999755051,0.0,0.0,0.0,0.0,0.0
11.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.0,1.0,1.0,1.0,1.0,1.0,6.667100000001813e-05,0.0,0.0,0.0,0.0
14.1,1.0,1.0,1.0,1.0,1.0,0.0003668009999999722,0.0,0.0,0.0,0.0
14.2,1.0,1.0,1.0,1.0,1.0,0.003109660000000014,0.0,0.0,0.0,0.0
14.3,1.0,1.0,1.0,1.0,1.0,0.014606608000000021,0.0,0.0,0.0,0.0
14.4,1.0,1.0,1.0,1.0,1.0,0.04919391799999995,0.0,0.0,0.0,0.0
14.5,1.0,1.0,1.0,1.0,1.0,0.11909700999999995,0.0,0.0,0.0,0.0
14.6,1.0,1.0,1.0,1.0,1.0,0.23747276399999995,0.0,0.0,0.0,0.0
14.7,1.0,1.0,1.0,1.0,1.0,0.391875929,0.0,0.0,0.0,0.0
14.8,1.0,1.0,1.0,1.0,1.0,0.568188597,0.0,0.0,0.0,0.0
14.9,1.0,1.0,1.0,1.0,1.0,0.725633693,0.0,0.0,0.0,0.0
15.0,1.0,1.0,1.0,1.0,1.0,0.846484545,0.0,0.0,0.0,0.0
15.1,1.0,1.0,1.0,1.0,1.0,0.920919442,5.000099999996621e-05,0.0,0.0,0.0
15.2,1.0,1.0,1.0,1.0,1.0,0.96391399,0.00045010099999998054,0.0,0.0,0.0
15.3,1.0,1.0,1.0,1.0,1.0,0.984506045,0.0042590700000000314,0.0,0.0,0.0
15.4,1.0,1.0,1.0,1.0,1.0,0.993093264,0.021736231999999966,0.0,0.0,0.0
15.5,1.0,1.0,1.0,1.0,1.0,0.996786072,0.04862617999999996,0.0,0.0,0.0
15.6,1.0,1.0,1.0,1.0,1.0,0.999176765,0.11675085399999996,0.0,0.0,0.0
15.7,1.0,1.0,1.0,1.0,1.0,0.99951195,0.21913952400000003,0.0,0.0,0.0
15.8,1.0,1.0,1.0,1.0,1.0,0.999813292,0.350361229,0.0,0.0,0.0
15.9,1.0,1.0,1.0,1.0,1.0,1.0,0.49810135600000005,0.0,0.0,0.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64658971,0.0,0.0,0.0
16.1,1.0,1.0,1.0,1.0,1.0,1.0,0.773269517,0.0,0.0,0.0
16.2,1.0,1.0,1.0,1.0,1.0,1.0,0.872610781,0.0,0.0,0.0
16.3,1.0,1.0,1.0,1.0,1.0,1.0,0.933926696,0.0,0.0,0.0
16.4,1.0,1.0,1.0,1.0,1.0,1.0,0.967742187,0.0,0.0,0.0
16.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9859197,0.0,0.0,0.0
16.6,1.0,1.0,1.0,1.0,1.0,1.0,0.993360869,0.0,0.0,0.0
16.7,1.0,1.0,1.0,1.0,1.0,1.0,0.989,0.0,0.0,0.0
16.8,1.0,1.0,1.0,1.0,1.0,1.0,0.995965152,0.0,0.0,0.0
16.9,1.0,1.0,1.0,1.0,1.0,1.0,0.99795061,5.000099999996621e-05,0.0,0.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999020204,0.0002667379999999886,0.0,0.0
17.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0020374819999999794,0.0,0.0
17.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010395818999999973,0.0,0.0
17.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03631836899999996,0.0,0.0
17.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09844557499999995,0.0,0.0
17.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20560095499999997,0.0,0.0
17.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.357138439,0.0,0.0
17.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.533037873,0.0,0.0
17.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.692139602,0.0,0.0
17.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.820380153,0.0,0.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.900136204,0.0,0.0
18.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.948390819,0.0,0.0
18.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.974652117,0.0,0.0
18.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988723955,0.0,0.0
18.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994305268,0.0,0.0
18.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997322268,0.0,0.0
18.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998815002,0.0,0.0
18.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999367544,0.0,0.0
18.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994522770000001,0.0,0.0
18.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.0,0.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.0,0.0
19.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00020001999999996745,0.0
20.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016012819999999817,0.0
20.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00898517700000001,0.0
20.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03193128300000003,0.0
21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06051107499999997,0.0
21.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13459367899999997,0.0
21.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2493265,0.0
21.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.404368492,0.0
21.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5710957480000001,0.0
21.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.704950763,0.0
21.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.825250117,0.0
21.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.900821476,0.0
21.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949917786,0.0
21.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975532428,0.0
22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988407377,0.0
22.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995286503,0.0
22.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998110118,0.0
22.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998102633,0.00020003999999995692
22.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999292893,0.0012014430000000242
22.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992,0.006200310999999958
22.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.022573233999999998
22.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.061829687999999994
22.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13627434000000005
22.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.251740502
23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.395441751
23.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.555362456
23.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.693531138
23.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8110556760000001
23.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.892135011
23.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.939754722
23.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.969783784
23.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984087088
23.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991724103
23.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996591486
24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993747001
24.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996287858
24.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998267949
24.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998904555
24.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999
24.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
